5,3,2707,1006652,0.61,beach
6,3,1844,181439,0.08,inland
5,8,9301,1726243,0.83,halifax
3,3,1961,1088512,0.29,beach
4,3,2154,140857,0.11,inland
4,2.5,2352,1119272,0.24,beach
2,1.5,1215,708202,0.63,halifax
3,3,3100,1029003,0.32,beach
3,2.5,2426,971813,0.64,beach
2,1.5,1183,452693,0.39,halifax
4,6.5,9355,2828857,3.52,halifax
3,4,2539,165663,0.13,inland
1,1,689,133645,0.15,inland
4,4,3538,632748,0.33,halifax
2,3,1346,210034,0.14,inland
3,3,2066,210631,0.14,inland
4,4.5,3947,1228862,0.56,halifax
2,1,1260,455974,0.18,beach
2,1.5,1313,588459,0.67,halifax
3,4,3581,933400,0.88,halifax
2,1.5,1848,168930,0.23,inland
2,2,1784,174580,0.17,inland
2,2,1772,896631,0.4,beach
4,3,2966,1070757,0.84,beach
4,3,5596,2378917,1.76,halifax
3,2,3384,245961,0.37,inland
2,1,1324,194200,0.06,inland
2,1,1226,146433,0.09,inland
2,1.5,1020,174373,0.11,inland
4,2.5,3418,410877,0.3,inland
4,2,2115,142609,0.18,inland
2,3,2774,606352,0.83,halifax
7,8,6852,1800000,0.41,beach
3,2,2739,248663,0.17,inland
5,3.5,4728,1236115,0.53,halifax
3,3,2688,1104177,0.18,beach
3,2,1485,68702,0.18,beach
7,5,4098,270414,0.11,inland
3,2,2956,653240,0.55,halifax
2,2.5,1976,264463,0.14,inland
5,4,5044,1240000,0.21,beach
5,3,2500,229673,0.48,inland
3,2.5,1988,910669,0.92,halifax
5,7,5532,2067730,1.28,halifax
4,2,2516,723897,0.18,beach
4,2.5,2426,295740,0.19,inland
4,5,4118,1749000,0.19,beach
2,1,912,154541,0.09,inland
3,2,1533,255961,0.17,inland
3,2,1236,312833,0.15,inland
3,3,1420,1044811,0.41,beach
4,5,3763,903898,1.45,halifax
2,2,899,177846,0.12,inland
5,5,5860,1737337,0.68,halifax
5,4.5,5070,2171397,0.66,beach
2,2,1078,140034,0.1,inland
2,1,976,117539,0.14,inland
3,2,2278,662243,0.18,beach
3,2,2140,792680,0.36,beach
2,1,1440,211507,0.15,inland
4,2,1836,234029,0.13,inland
3,2,1530,366503,0.38,halifax
3,2,1954,202687,0.12,inland
3,2,1600,218905,0.15,inland
4,4,3000,245384,0.15,inland
2,1,1078,661038,0.21,beach
3,3,1536,773463,0.29,beach
3,2,3052,843042,0.19,beach
3,4,2539,165663,0.13,inland
3,2,1610,807419,0.31,beach
1,1,1004,140339,0.1,inland
3,3,2950,612726,0.76,halifax
3,2.5,1800,812032,0.25,beach
2,1,3271,1174248,0.36,beach
3,2,1914,278252,0.19,inland
3,4.5,5971,1736335,1.65,halifax
5,5,4040,1105578,0.32,beach
3,2,2556,215341,0.11,inland
4,3,1979,299220,0.16,inland
2,1,1260,455974,0.18,beach
5,5,3251,661742,0.53,halifax
3,3,1436,1087897,0.36,beach
3,2,1699,181950,0.31,inland
4,3,2474,1038379,1.19,halifax
4,4,2581,1529937,0.37,beach
4,2,1800,198645,0.11,inland
5,8,8193,1946750,1.05,halifax
3,3.5,3583,700594,0.65,halifax
3,2,1413,891538,0.65,beach
3,2,1610,807419,0.31,beach
3,2,1630,129434,0.04,inland
6,7.5,12934,2874045,1.53,halifax
4,2.5,3117,608919,0.54,halifax
5,1.5,1762,200799,0.2,inland
3,2,1358,201352,0.12,inland
5,7,7665,1856299,0.72,halifax
4,5,5514,1761039,0.72,beach
3,2.5,2938,955491,0.19,beach
5,6,1797,376540,0.13,inland
5,2,2150,200832,0.2,inland
2,1,1544,186057,0.1,inland
3,2,2231,763287,0.19,beach
2,2,1432,160611,0.07,inland
5,8.5,9000,1742665,1.27,halifax
4,4,3732,162593,0.15,inland
2,1,876,403629,0.18,halifax
6,6,7168,118246,1.19,halifax
4,3.5,4232,1056327,1.61,halifax
4,6,3876,654731,0.39,halifax
6,5.5,7337,1158120,1.52,halifax
3,2,914,216047,0.1,inland
2,2,1350,198062,0.14,inland
3,1.5,2836,752818,0.31,halifax
2,1,1168,210842,0.12,inland
2,2.5,971,138333,0.14,inland
2,1,1041,158807,0.15,inland
3,2,1500,144985,0.14,inland
2,2,856,198937,0.13,inland
4,4,2200,276847,0.19,inland
3,3,3875,1247368,0.22,beach
3,1,1372,239398,0.11,inland
2,1,899,177846,0.12,inland
4,3,5290,968160,0.69,halifax
5,3,1823,359120,0.08,inland
6,4,1804,270650,0.14,inland
3,2,1216,848931,0.61,beach
5,3,4064,327618,0.33,inland
2,1,1288,147479,0.12,inland
3,2,1705,981163,0.29,beach
5,6.5,6880,1691589,2.7,halifax
4,3.5,3097,853704,0.69,halifax
4,2,1872,176162,0.09,inland
3,2,1612,789051,0.18,beach
3,2.5,1819,599338,0.25,halifax
3,2,1104,144656,0.08,inland
3,3,3083,846147,0.26,beach
6,4,1746,267684,0,inland
4,6.5,9579,2006341,1.56,halifax
3,4,4572,1135434,0.61,halifax
3,2,2336,139537,0.15,inland
1,1,462,165036,0.11,inland
2,1,1062,177639,0.1,inland
2,3.5,2105,625023,0.55,halifax
2,1,1380,117074,0.1,inland
3,2.5,1457,780703,0.59,beach
3,2,1104,144656,0.08,inland
3,2,2870,384033,0.15,inland
2,1,1103,236004,0.13,inland
5,4.5,6466,1039492,1.19,halifax
3,1,1350,163739,0.14,inland
4,4,2040,234901,0.11,inland
2,2,1580,111978,0.11,inland
3,3,3120,1705741,1.68,halifax
3,3.5,2431,869448,0.23,beach
4,4,6940,1264273,0.82,halifax
3,1,1224,214076,0.09,inland
3,2,1050,237497,0.14,inland
3,1.5,1231,172021,0.14,inland
4,4,2956,899999,0.17,beach
1,1,623,81506,0.06,inland
3,3,3762,1112335,1.13,halifax
2,1,1526,141602,0.1,inland
3,2,996,141357,0.11,inland
3,1,1426,228593,0.14,inland
4,2,2681,838563,0.17,beach
3,2,1866,620849,0.16,beach
2,2,1460,667155,0.17,beach
2,2,1035,207433,0.12,inland
3,2.5,2247,1045305,0.36,beach
3,2,1304,1148517,0.42,beach
4,3,3816,1164386,0.83,beach
2,2,1017,131339,0.09,inland
5,7,8705,1399900,0.65,halifax
3,2,1677,201747,0.14,inland
4,4,3806,1387804,2.56,halifax
4,4,4107,614431,1.41,halifax
3,2,1747,216750,0.11,inland
6,4,2644,281031,0.18,inland
2,2.5,1225,205925,0.09,inland
6,5,5700,760863,1,halifax
5,5,5572,1146844,2,halifax
3,3,1530,170600,0.05,inland
2,2,1229,168237,0.15,inland
5,4,5096,821803,1.17,halifax
5,3,4343,1400000,1.06,halifax
4,4,2186,234022,0.31,inland
4,4,4331,932602,0.82,halifax
3,3,1893,1063817,0.47,beach
2,1,1124,127532,0.14,inland
3,2,2340,618088,0.26,beach
2,1,816,185757,0.1,inland
4,4.5,3267,1088283,0.5,halifax
2,1,1361,135266,0.1,inland
3,2,1558,195190,0.15,inland
4,2.5,4360,980384,0.37,halifax
3,3,2436,1155596,0.41,beach
3,2,1120,186988,0.53,inland
2,1,802,147204,0.09,inland
3,2,1400,153793,0.16,inland
3,4,3212,617411,0.44,halifax
3,2,2972,1017912,0.26,beach
3,3,2503,882906,0.17,beach
3,3.5,3168,721175,0.41,beach
3,2,2419,194249,0.15,inland
4,2,2400,177928,0.17,inland
7,9,6063,2166605,0.57,beach
4,3,2135,572916,0.24,halifax
2,3,1456,520750,0.42,halifax
4,3,1700,238633,0.04,inland
2,2,1283,259503,0.14,inland
3,2,2304,795941,1.26,halifax
2,1,1368,136407,0.1,inland
2,1.5,986,720100,0.24,beach
2,1,1078,661038,0.21,beach
5,2.5,1926,1112296,0.73,beach
3,2,2231,763287,0.19,beach
4,4,6446,1731496,0.74,halifax
3,2.5,2130,1082853,0.47,beach
3,2,2060,499857,0.16,halifax
2,2,1986,250856,0.14,inland
3,3,1747,248711,0.19,inland
2,1,1600,195857,0.1,inland
3,8,16182,2700319,3.81,halifax
3,2.5,2812,858175,0.25,halifax
2,1,1344,184759,0.1,inland
2,1,899,177760,0.14,inland
2,1,700,130191,0.14,inland
4,2,1315,188649,0.14,inland
3,2,1422,722798,0.2,beach
4,3,4371,899283,0.91,halifax
3,1,1206,160413,0.13,inland
4,4,2123,278655,0.14,inland
4,5,3763,903898,1.45,halifax
4,3,2188,181641,0.11,inland
2,2,1590,150815,0.14,inland
3,3,1595,718077,0.27,beach
4,5,6738,2311046,1.73,halifax
1,1,360,288582,0.15,inland
3,2,1222,169880,0.11,inland
2,1,1368,136407,0.1,inland
2,1,1400,101701,0.09,inland
4,5,2920,1499900,0.86,beach
3,2,1147,173717,0.14,inland
3,2,1370,224643,0.1,inland
2,2.5,971,138333,0.14,inland
3,2.5,2777,1370564,0.4,beach
2,1,1275,199076,0.13,inland
5,4,3600,917639,0.2,beach
3,3,6332,1642873,0.57,beach
2,1,1600,195857,0.1,inland
2,1,800,166878,0.11,inland
3,2,1871,655286,0.6,halifax
4,2,2268,952769,0.65,beach
2,1,1230,151361,0.1,inland
7,7,3725,772478,0.9,halifax
3,6,5713,1375000,0.77,beach
7,3,2279,126634,0.1,inland
4,4,2808,886232,0.62,halifax
3,2,1637,830662,0.29,beach
3,2,1895,308481,0.11,inland
3,3,2069,213691,0.17,inland
2,1,900,133083,0.1,inland
4,3,3022,898122,0.19,beach
6,3,1844,181439,0.08,inland
3,2,1938,768848,0.43,halifax
3,2,1164,109888,0.13,inland
2,1,864,127754,0.12,inland
6,6,2808,837994,0.39,beach
3,2,1422,722798,0.2,beach
4,3.5,2900,237734,0.11,inland
3,2,3963,1599000,0.73,beach
1,1,1004,140339,0.1,inland
3,2,2100,710358,0.16,beach
2,2,1704,114803,0.06,inland
5,6,6882,1717595,0.41,halifax
2,2,1179,171100,0.08,inland
7,7,5301,2320760,0.32,beach
2,1,1195,459432,0.38,halifax
4,8.5,13654,2905799,3.39,halifax
3,2.5,1592,245460,0.15,inland
2,1,1224,180536,0.11,inland
4,2,2690,244956,0.22,inland
4,7.5,6793,1705318,0.92,halifax
3,2,2804,566248,0.22,halifax
3,2,660,271857,0.14,inland
4,5,5793,1478318,0.27,beach
3,2,952,80564,0.09,inland
3,3,1388,244598,0.26,inland
2,2,1136,198606,0.1,inland
2,1,1130,180158,0.09,inland
3,2.5,2624,1184340,0.41,beach
2,2,1000,186071,0.09,inland
2,1.5,1484,819767,0.36,beach
2,2,847,187841,0.12,inland
3,2,2876,261983,0.2,inland
3,2,1362,191567,0.13,inland
4,4,4078,1539130,0.22,beach
3,2,1300,192785,0.05,inland
3,2,1930,236853,0.13,inland
2,1,800,193957,0.12,inland
3,2.5,2253,450052,0.23,halifax
4,3,2204,114803,0.06,inland
2,1,800,131147,0.07,inland
4,4,1790,131860,0.09,inland
2,1,720,147504,0.1,inland
5,8,8194,2200000,0.6,halifax
3,2,2507,806821,0.54,halifax
3,3,1748,980038,0.34,beach
3,2,2579,801883,1.19,halifax
6,6,6450,2054195,3.03,halifax
2,1,938,200262,0.15,inland
3,2,1300,98878,0.12,inland
4,3.5,4782,1384999,1.33,halifax
2,2,1312,149779,0.15,inland
2,1,1391,235100,0.12,inland
4,6,4267,1716893,1.32,halifax
5,4,7947,1799000,0.65,beach
2,2,1152,251124,0.17,inland
4,3,1899,198751,0.12,inland
3,2,1836,791038,1.28,halifax
4,2,2240,1032314,0.43,beach
4,3,1879,235737,0.19,inland
3,1,1356,209156,0.19,inland
3,2,1137,151031,0.11,inland
4,4,2380,311585,0.07,inland
3,2,1209,213697,0.23,inland
4,2.5,1932,740814,0.17,beach
4,3.5,3088,1347478,0.46,beach
2,2,1383,540392,0.42,halifax
2,1,1212,761877,0.17,beach
3,2,2900,307031,0.28,inland
3,3,1142,255228,0.18,inland
4,2,2036,236768,0.11,inland
2,1,1560,511712,0.21,beach
4,2,2316,158155,0.14,inland
2,2,1272,180841,0.11,inland
3,2,1064,788466,0.28,beach
3,3,2761,341681,0.24,inland
2,2,1311,977379,0.34,beach
4,2,1590,665390,0.43,halifax
4,4.5,6285,978295,0.79,halifax
4,3.5,4782,1384999,1.33,halifax
3,2,2145,860000,0.41,beach
3,3,1343,216831,0.11,inland
3,2,1808,325100,0.48,inland
2,2.5,2249,1527162,1.46,beach
6,4,2600,237984,0.16,inland
3,2.5,2226,588911,0.22,halifax
3,3,1440,947037,0.62,beach
4,3,3818,287383,0.34,inland
3,2,1364,847163,0.65,beach
3,2,1118,179688,0.1,inland
2,1.5,1056,745990,0.42,beach
2,2,1208,1098942,0.42,beach
3,2,1463,358447,0.2,halifax
1,2,2209,152555,0.3,inland
4,3,3686,948468,0.19,beach
3,4.5,3227,830102,0.58,beach
3,2,2278,662243,0.18,beach
3,2,1506,671401,0.17,beach
4,3,1700,238633,0.14,inland
4,4.5,4859,1447840,0.73,halifax
2,2,1256,219746,0.11,inland
2,1,800,131040,0.07,inland
3,2,1314,209483,0.13,inland
2,1,1514,206563,0.14,inland
3,2,2208,790213,0.86,halifax
4,3.5,3764,1155361,1.68,halifax
3,1,1314,172670,0.1,inland
6,6,7519,1402673,1.22,halifax
6,4,2622,301762,0.17,inland
3,2,1738,817222,0.23,beach
4,6,5512,1456105,0.8,halifax
4,4,4864,1146844,0.72,halifax
3,1,1197,184863,0.1,inland
2,2,1149,81075,0.09,inland
4,6,5760,2456443,0.84,beach
3,2,1733,219169,0.14,inland
2,2,1442,178050,0.11,inland
3,4,3519,1012950,0.41,beach
4,4,2726,280612,0.11,inland
2,1,942,113986,0.09,inland
4,3,3022,898122,0.19,beach
4,2,1742,188643,0.08,inland
3,4.5,3876,1068701,0.51,halifax
2,1,1090,156081,0.11,inland
4,2,2222,524814,0.54,halifax
4,2,2328,468600,0.42,halifax
3,2,1045,134322,0.13,inland
2,1,1020,189390,0.21,inland
2,1,1103,236004,0.13,inland
3,2,1257,234843,0.12,inland
5,4,3600,917639,0.2,beach
2,1,1011,181867,0.16,inland
3,3,2117,956098,0.4,beach
3,3,2863,777971,0.45,halifax
3,2.5,3112,800617,0.41,beach
3,3,1343,22990,0.11,inland
5,4.5,4204,952550,0.87,halifax
4,2.5,3438,368733,1,inland
3,1,1162,196546,0.1,inland
3,2,1793,267947,0.14,inland
3,1,1204,198112,0.18,inland
4,6,7280,2750000,0.65,halifax
